content_id,client_id,baseline_rank,baseline_refresh_score,visibility_score,freshness_risk_score,position_opportunity_score,depth_gap_score,reason_codes,suggested_action_baseline,is_declining_label,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,scroll_rate,content_age_days,days_since_last_update,word_count,trend_direction
content_19770a458fcd,client_19581e27de,64,0.91998979569161,0.9782666666666666,0.8432,0.9323480272108843,0.8527224444444444,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,42277,28,31,3.3,0.07,3.23,5.41,256,104,0.0,down
content_08547d1dc47b,client_19581e27de,65,0.9198662073129252,0.9937,0.8432,0.9044697959183674,0.8661751666666667,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,93233,297,263,5.4,0.32,2.28,5.5,362,104,0.0,down
content_2c88e6a62400,client_19581e27de,66,0.9195553996598639,0.985,0.8432,0.9186632653061224,0.8585916666666666,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,55199,98,107,4.3,0.18,1.87,1.61,236,104,0.0,down
content_c4ca5315dd7c,client_19581e27de,67,0.9193124363378684,0.9883666666666666,0.8432,0.9117178231292516,0.8615262777777778,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,67143,141,148,4.8,0.21,4.05,7.89,329,104,0.0,stable
content_33b4dceecad1,client_19581e27de,68,0.9191677876417234,0.9987333333333334,0.8432,0.892745306122449,0.8705625555555556,low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,181574,295,328,6.2,0.16,0.61,5.51,144,104,0.0,stable
content_ed2f80181a8f,client_19581e27de,69,0.9191215182539684,0.9755333333333334,0.8432,0.933724761904762,0.8503398888888889,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,38841,173,185,3.1,0.45,7.03,11.96,329,104,0.0,stable
content_0178188b5b9d,client_19581e27de,70,0.9190269773242631,0.9746666666666667,0.8432,0.9348843537414966,0.8495844444444445,page_one_decay_risk|low_engagement_visible_page,monitor,0,37776,387,404,3.0,1.02,6.19,10.27,329,104,0.0,stable
content_110a32997057,client_19581e27de,71,0.9187235646825396,0.9634333333333334,0.8432,0.9536023809523809,0.8397927222222222,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,29717,221,184,1.5,0.74,3.26,5.5,330,104,0.0,down
content_896bf2cc27b7,client_19581e27de,72,0.9186958867346937,0.9882,0.8432,0.9095473469387754,0.861381,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,66359,28,64,4.9,0.04,1.56,3.08,236,104,0.0,down
content_dbf64db05d5e,client_19581e27de,73,0.9184568385487528,0.9938666666666667,0.8432,0.8985365986394558,0.8663204444444444,page_one_decay_risk|low_engagement_visible_page,monitor,0,94864,522,558,5.7,0.55,6.81,9.48,329,104,0.0,stable
content_69b461c80ae0,client_19581e27de,74,0.9184376765873016,0.9848333333333333,0.8432,0.9144880952380953,0.8584463888888889,declining_with_demand|page_one_decay_risk|low_engagement_visible_page,refresh,1,54857,286,246,4.5,0.52,2.03,2.42,257,104,0.0,down
content_6109e35fbc01,client_19581e27de,75,0.9183178329931974,0.9854,0.8432,0.9130032653061225,0.8589403333333334,page_one_decay_risk|low_engagement_visible_page,monitor,0,56758,402,353,4.6,0.71,1.13,3.13,313,104,0.0,stable
content_88e041922364,client_19581e27de,76,0.9182800071428572,0.9846,0.8432,0.9142714285714286,0.8582430000000001,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,54057,159,235,4.5,0.29,2.13,3.97,313,104,0.0,down
content_3cb53a1fb9ce,client_19581e27de,77,0.9182586115079365,0.9713666666666667,0.8432,0.9376661904761906,0.8467079444444445,page_one_decay_risk|low_engagement_visible_page,monitor,0,35171,176,172,2.7,0.5,6.4,8.84,329,104,0.0,stable
content_bfb0f696b1e3,client_4e07408562,78,0.9179917354875283,0.9760666666666666,0.8432,0.9282593197278911,0.8508047777777777,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,39527,178,168,3.4,0.45,3.57,25.54,487,104,0.0,down
content_51d4f462cbd8,client_4e07408562,79,0.9179196198412699,0.9840666666666666,0.8432,0.9137761904761905,0.8577781111111111,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,52681,119,89,4.5,0.23,5.62,10.31,504,104,0.0,stable
content_0cdc2ab8551d,client_19581e27de,80,0.917901796031746,0.9788666666666667,0.8432,0.9229314285714285,0.8532454444444445,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,43162,173,151,3.8,0.4,9.27,13.61,330,104,0.0,down
content_dbee34c4addf,client_19581e27de,81,0.9178073221088434,0.9802,0.8432,0.9201877551020409,0.8544076666666667,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,45273,149,131,4.0,0.33,0.76,3.13,257,104,0.0,stable
content_aee6abc99c75,client_19581e27de,82,0.917772073696145,0.9913333333333333,0.8432,0.9002925170068027,0.8641122222222222,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,79076,91,119,5.5,0.12,0.84,1.46,313,104,0.0,stable
content_6b9979265e54,client_19581e27de,83,0.917698744387755,0.9771,0.8432,0.9252538775510204,0.8517055,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,40720,130,121,3.6,0.32,1.65,6.0,330,104,0.0,stable
content_fc93fe564a59,client_19581e27de,84,0.9176307237528345,0.9873666666666666,0.8432,0.906765306122449,0.8606546111111111,page_one_decay_risk|low_engagement_visible_page,monitor,0,63805,379,390,5.0,0.59,2.31,4.27,313,104,0.0,stable
content_97a86caf3a3d,client_19581e27de,85,0.9175492429138321,0.9978333333333333,0.8432,0.8878680272108844,0.8697780555555557,declining_with_demand|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,147670,97,143,6.4,0.07,4.2,9.21,153,104,0.0,down
content_ceaa28bba4ca,client_4e07408562,86,0.9175381317460317,0.9790666666666666,0.8432,0.9211219047619047,0.8534197777777778,page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,0,43287,26,46,3.9,0.06,2.17,3.92,487,104,0.0,up
content_f42eb861c6dd,client_19581e27de,87,0.9172176168367348,0.9981,0.8432,0.8860683673469387,0.8700105,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,152467,191,403,6.5,0.13,1.49,3.31,313,104,0.0,down
content_ec28dbcedd47,client_19581e27de,88,0.9170625510770976,0.9754333333333334,0.8432,0.9256663265306123,0.8502527222222223,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,38803,127,221,3.5,0.33,4.52,5.42,236,104,0.0,down
content_f1e4324bda35,client_19581e27de,89,0.9168865601473922,0.9907666666666667,0.8432,0.8977559183673469,0.8636182777777778,declining_with_demand|page_one_decay_risk|low_ctr_visible_page|low_engagement_visible_page,refresh_and_review_ctr,1,76642,168,215,5.6,0.22,1.86,4.31,236,104,0.0,down
